ghcn_din;date;prcp;snow;tmax;tmin;elevation;name;coord;country_code
ITM00016064;2016-12-06;0.0;;10.4;-2.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-12-26;0.0;;;-0.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-01-07;;;;-3.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-01-22;0.0;;5.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-03-03;99.0;;14.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-03-21;0.0;;17.4;3.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-04-21;0.0;;20.0;9.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-05-03;0.0;;24.4;4.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-05-11;;;14.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-07-14;3.0;;26.4;10.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-07-27;0.0;;30.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-08-10;20.0;;;16.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-08-23;0.0;;28.4;14.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-09-10;0.0;;30.2;18.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-09-16;89.0;;21.2;15.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-11-20;3.0;;;7.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-12-20;;;;1.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-12-25;0.0;;8.6;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-02-08;20.0;;;4.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-02-25;0.0;;;5.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-03-01;8.0;;;3.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-03-04;0.0;;11.4;2.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-04-18;30.0;;21.4;10.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-04-20;0.0;;21.2;7.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-06-17;10.0;;24.2;12.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-07-19;0.0;;31.6;17.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-08-11;0.0;;24.4;12.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-09-22;10.0;;21.6;13.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-10-28;0.0;;;10.6;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-11-19;33.0;;8.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-11-24;150.0;;13.2;10.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-11-28;0.0;;11.6;4.8;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-12-02;0.0;;12.2;-2.0;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-12-13;0.0;;1.4;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-12-16;0.0;;;-0.4;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-12-22;0.0;;11.2;-1.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-01-12;;;14.2;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-01-25;0.0;;12.0;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-04-06;0.0;;;;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-04-14;71.0;;22.4;5.2;178.6;CAMERI;45.53, 8.669;IT
ITM00016064;2016-04-25;;;;-0.4;178.6;CAMERI;45.53, 8.669;IT
